#谁是卧底词汇库
#格式：大众词|卧底词

坐地吸土|落地生根
舌吻|深喉  
爱抚|全身舔  
缠绵|猛插  
娇喘|浪叫  
湿吻|口水吻  
轻咬|用力咬  
耳语|脏话撩  
公主抱|壁咚干  
情趣|SM 
丝滑|推油  
潮吹|失禁 
欲火|焚身  
挑逗|阴蒂玩 
赤裸|暴露  
销魂|腿软  
后入|撞击  
骑乘|摇摆  
眼罩|捆绑  
一夜|操天亮
深喉|喉交  
内射|中出  
口爆|吞精  
猛干|狂操  
浪叫|尖叫  
抽插|猛插  
肛交|后庭  
调教|虐操  
母狗|贱奴  
捆绑|绳缚  
鞭打|抽鞭  
窒息|掐脖  
失禁|喷尿  
颜射|脸射  
拳交|拳奸  
滴蜡|热蜡  
羞辱|辱骂  
露出|暴露  
无套|生干  
操烂|操坏
蜜吻|法式吻  
爱抚|全身摸  
缠绵|翻云覆雨  
娇喘|低吟  
湿吻|舌尖舞  
轻咬|吸吮  
耳语|情话撩  
公主抱|壁咚  
情趣|玩具  
丝滑|油推  
潮吹|喷泉  
高潮|巅峰  
欲火|焚身  
挑逗|勾魂  
赤裸|全裸  
销魂|蚀骨  
后入|深顶  
骑乘|主动权  
眼罩|束缚  
一夜|缠绵到天亮
接吻|舌吻
拥抱|依偎
调情|撩拨
暧昧|暗恋
性感|妩媚
妖娆|魅惑
勾引|挑逗
诱惑|沉沦
私奔|幽会
偷情|出轨
小三|情妇
红杏出墙|金屋藏娇
按摩|推油
spa|泡澡
鸳鸯浴|混浴
钢管舞|脱衣舞
夜店|酒吧
KTV|棋牌室
避孕套|避孕药
情趣内衣|比基尼
丝袜|网袜
皮鞭|绳索
蜡烛|低温蜡
手铐|眼罩
春梦|噩梦
呻吟|喘息
香汗|体香
夜总会|洗浴中心
按摩店|足疗店
红灯区|步行街
猥琐|下流
龌龊|肮脏
放荡|淫乱
偷窥|偷拍
走光|暴露
裸奔|裸泳
春药|迷药
催情|助兴
迷奸|诱奸
十八禁|十九禁
限制级|成人级
暗网|深网
约炮|一夜情
床伴|炮友
前任|初恋
钢管|单杠
舞女|歌女
名媛|交际花
青楼|妓院
艺伎|花魁
鸭子|牛郎
包子 | 饺子
西瓜 | 哈密瓜
铅笔 | 钢笔
沙发 | 椅子
太阳 | 月亮
眼睛 | 耳朵
手机 | 电脑
冰箱 | 冰柜
碗 | 盘子
拖鞋 | 凉鞋
篮球 | 足球
雨伞 | 遮阳伞
枕头 | 靠垫
